Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
202152,Airplane,LAGUARDIA NY,> 1000 ft,B-737-400,Over 100,859,Engine Shut Down,11/23/2000 0:00,Caused damage,2,US AIRWAYS*,New York,Climb,None,FALSE,FALSE,"FLT 753. PILOT REPTD A HUNDRED BIRDS ON UNKN TYPE. #1 ENG WAS SHUT DOWN AND DIVERTED TO EWR. SLIGHT VIBRATION. A/C WAS OUT OF SVC FOR REPAIRS TO COWLING, FAN DUCT ACCOUSTIC PANEL. INGESTION. DENTED FAN BLADE #26 IN #1 ENG. HEAVY BLOOD STAINS ON L WINGTIP",Medium,No Cloud,Unknown bird - medium,N,"30,736","1,500",0,Yes
208159,Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-80,Over 100,424,None,7/25/2001 0:00,Caused damage,2,AMERICAN AIRLINES,Texas,Landing Roll,None,FALSE,FALSE,102 CARCASSES FOUND. 1 LDG LIGHT ON NOSE GEAR WAS DAMAGED AND REPLACED.,Small,Some Cloud,Rock pigeon,Y,0,0,0,No
207601,Airplane,LAKEFRONT AIRPORT,< 1000 ft,C-500,Over 100,261,None,9/14/2001 0:00,No damage,2,BUSINESS,Louisiana,Approach,None,FALSE,FALSE,FLEW UNDER A VERY LARGE FLOCK OF BIRDS OVER APCH END OF RWY. NO DMG. JUST A LOT OF BIRD DROPPINGS ON WINDSCREEN.,Small,No Cloud,European starling,N,0,50,0,No
215953,Airplane,SEATTLE-TACOMA INTL,< 1000 ft,B-737-400,Over 100,806,Precautionary Landing,9/5/2002 0:00,No damage,2,ALASKA AIRLINES,Washington,Climb,None,TRUE,FALSE,"NOTAM WARNING. 26 BIRDS HIT THE A/C, FORCING AN EMERGENCY LDG. 77 BIRDS WERE FOUND DEAD ON RWY/TWY WITH GRASSHOPPERS IN THEIR STOMACHS. SAFETY AREAS COULD NOT BE THOROUGHLY INSPCTD DURING 14 MINUTE SHUTDOWN OF RWY 34L. NO DMG. A/C OUT OF SVC 40 MINS. PHOT",Small,Some Cloud,European starling,Y,0,50,0,Yes
219878,Airplane,NORFOLK INTL,< 1000 ft,CL-RJ100/200,Over 100,942,None,6/23/2003 0:00,No damage,2,COMAIR AIRLINES,Virginia,Approach,None,FALSE,FALSE,NO DMG REPTD.,Small,No Cloud,European starling,N,0,50,0,No
218432,Airplane,GUAYAQUIL/S BOLIVAR,< 1000 ft,A-300,Over 100,537,None,7/24/2003 0:00,No damage,2,AMERICAN AIRLINES,N/A,Take-off run,None,FALSE,FALSE,NO DMG. BIRD REMAINS ON F/O WINDSCREEN.,Small,No Cloud,Unknown bird - small,N,0,0,0,No
221697,Airplane,NEW CASTLE COUNTY,< 1000 ft,LEARJET-25,Over 100,227,Other,8/17/2003 0:00,Caused damage,2,BUSINESS,Delaware,Climb,None,TRUE,TRUE,,Small,No Cloud,European starling,N,"1,481,711",150,0,No
236635,Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,A-320,Over 100,320,Other,3/1/2006 0:00,Caused damage,2,UNITED AIRLINES,DC,Approach,None,TRUE,FALSE,"WS ASSISTED IN CLEAN-UP OF 273 STARLINGS AND 1 BROWN-HEADED COWBIRD FROM RWY THRESHOLD. PHOTOS OF A/C TAKEN. BORESCOPED BOTH ENGS. FOUND DENTS AND NICKS IN STAGES 3-6. ALL WITHIN LIMITS. CLEANED RADOME, L WING, FLAPS, PYLON, GEAR AND LEADING EDGE FLAPS. R",Small,Some Cloud,European starling,Y,"1,483,141",100,0,No
207369,Airplane,ATLANTA INTL,< 1000 ft,DC-9-30,2 to 10,9,Aborted Take-off,1/6/2000 0:00,No damage,2,AIRTRAN AIRWAYS,Georgia,Take-off run,None,FALSE,FALSE,,Small,Some Cloud,Rock pigeon,N,0,0,0,No
204371,Airplane,ORLANDO SANFORD INTL AIRPORT,< 1000 ft,A-330,2 to 10,4,None,1/7/2000 0:00,No damage,2,AIRTOURS INTL,Florida,Landing Roll,None,FALSE,FALSE,FLT 057,Small,Some Cloud,Unknown bird - small,N,0,0,0,No
201589,Airplane,ONTARIO INTL ARPT,< 1000 ft,A-320,2 to 10,3,None,1/8/2000 0:00,No damage,2,AMERICA WEST AIRLINES,California,Approach,None,FALSE,FALSE,"FLEW THRU A FLOCK OF ABOUT 30 BIRDS. INGESTED 1. REPTS DIFFER ON  ENG STRUCK, COULD BE #1 AND/OR #2.",Small,Some Cloud,Rock pigeon,N,0,200,0,No
205958,Airplane,CHICAGO O'HARE INTL ARPT,> 1000 ft,FOKKER F100,2 to 10,9,None,1/20/2000 0:00,Caused damage,2,AMERICAN AIRLINES,Illinois,Approach,None,FALSE,FALSE,"JUST OUTSIDE OF WILLT ON VISUAL APCH, WE FLEW THRU A FLOCK OF  GEESE. WE HIT AT LEAST 1, HEARD THE SOUND. RT WING SUFFERED  SIGNIFICANTLY MORE DMG THAN L WING. (L. SCHAFER, WS DID NOT KNOW  ABOUT THIS STRIKE). ALSO SAW EVIDENCE OF STRIKE AROUND THE R ENG",Large,No Cloud,Canada goose,N,0,"1,700",0,No
200220,Airplane,GROTON-NEW LONDON AR,< 1000 ft,C-421,2 to 10,2,None,1/30/2000 0:00,No damage,2,BUSINESS,Connecticut,Landing Roll,None,FALSE,FALSE,,Small,Overcast,Unknown bird - small,N,0,0,0,No
200219,Airplane,SPIRIT OF ST LOUIS,> 1000 ft,C-560,2 to 10,2,None,1/30/2000 0:00,No damage,2,EXECUTIVE JET AVIATION,Missouri,Approach,Snow,FALSE,FALSE,HIT FLAP,Small,Overcast,Unknown bird - small,N,0,"1,800",0,No
